Sku,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,unit cost,lead-time,retail_price,quantity_on_hand,backlog
KR202-738,2415,3127,2000,2864,1249,2545,1230,1728,1331,2650,3626,2483,1453,3,9907,1852,0
KR202-739,2042,2770,3185,1252,1090,3888,3090,617,3195,3730,3324,3375,1170,5,7020,1827,0
KR202-740,2148,3529,3912,871,3741,1128,2222,3771,2735,2426,2064,2699,534,4,9286,868,0
KR202-741,3435,2786,3717,699,3046,1728,1365,1625,684,519,1376,2656,727,2,3229,1794,0
KR202-742,2843,2188,2953,2309,3542,3167,1124,1100,2202,2973,3906,1326,1443,5,5028,1430,0
KR202-743,1343,2932,3825,559,3121,3203,1976,1819,1967,2951,3127,933,1958,2,6388,665,0
KR202-744,2495,3428,1882,1778,3199,3987,1575,3447,2714,3351,1109,1044,986,1,11769,795,0
KR202-745,1911,3926,3183,3751,2607,1845,2285,2739,1360,932,2617,2549,1630,1,14912,1129,0
KR202-746,1357,3320,2443,3816,2607,3130,2825,1071,2046,3679,1756,3548,904,4,1590,1854,0
KR202-747,753,3365,3137,2393,1950,1258,893,2041,3455,3581,1594,1354,1913,2,11436,1576,0
KR202-748,3144,2764,3985,1325,1888,1731,3804,1161,2354,1841,3676,522,1167,5,7186,1719,0
KR202-749,2506,1530,2051,3919,2226,889,3724,2991,3653,3784,2161,1274,531,5,14397,1828,0
KR202-750,3740,1576,3583,3068,1042,603,3797,2578,1533,1311,3912,3084,1706,5,14439,2550,0
KR202-751,1688,2932,2828,2200,748,1685,3464,1859,1798,3702,2179,1887,741,2,2323,1812,0
KR202-752,3173,1381,2516,1130,2243,880,3540,3494,3345,2298,1558,1783,1500,3,8147,1325,0
KR202-753,3106,2887,1356,1155,3221,1869,694,988,3757,980,2168,3288,885,3,14889,2233,0
KR202-754,1073,3523,1562,3669,1473,3044,3198,3470,2545,3285,1594,2079,1968,4,7791,2198,0
KR202-755,764,2434,2392,3170,2397,3663,2735,2189,1634,551,3762,3005,1195,4,1519,1256,0
KR202-756,1550,3774,1617,2438,1606,2999,1851,1354,2395,924,841,2219,1874,2,14135,1217,0
KR202-757,2722,2513,2053,3017,3639,1268,957,3501,762,2219,1398,2342,1486,4,13924,572,0
KR202-758,916,3880,924,2460,2266,3086,2593,651,2535,3891,2062,1775,1262,2,6564,1265,0
KR202-759,2526,2354,2442,1692,2364,1226,3156,818,3794,619,2073,2658,1559,4,10906,2212,0
KR202-760,2080,536,1896,2357,2162,753,2884,2888,3887,3562,1315,1851,1037,4,12763,1243,0
KR202-761,4000,818,3220,2683,1214,974,2499,2210,3933,1305,2416,819,1081,3,8295,1592,0
KR202-762,3528,3218,1582,3724,2126,764,3872,2771,505,2334,2429,2523,764,1,14924,1090,0
KR202-763,1486,2720,2471,2751,1609,3849,958,2475,544,3982,2068,3110,1485,1,9772,2040,0
KR202-764,2569,2806,544,1980,2721,3875,3326,1269,2607,3470,2186,2365,1175,5,14525,1749,0
KR202-765,795,3853,3399,1944,3819,513,3039,2629,1513,2272,2104,3554,1369,3,6859,1432,0
KR202-766,3523,3910,2833,1795,3055,1724,2137,2459,2466,2886,520,3408,1963,5,7445,2753,0
KR202-767,3865,1803,3695,790,3471,2770,2608,3729,682,3272,2361,1171,926,5,5193,1661,0
KR202-768,3816,536,3760,1395,2656,2172,3132,3023,3758,3378,765,3215,935,1,11490,1374,0
KR202-769,2178,3820,717,1571,695,2575,3402,3332,2912,589,651,1686,675,1,13628,1344,0
KR202-770,1172,3162,1841,3416,2006,2829,703,1754,2286,3571,2721,2415,1663,5,12242,1642,0
KR202-771,699,2351,1574,682,2044,2210,2152,3911,2566,1520,1990,3453,952,5,8443,2182,0
KR202-772,1748,1986,3767,1672,3820,3542,1680,2698,2064,1971,3680,2551,1880,1,13138,1788,0
KR202-773,2075,2921,2645,731,2370,864,1176,1042,3654,1003,2502,2535,1839,1,4673,2003,0
KR202-774,2582,582,1573,3729,2497,2759,3353,1896,2752,3182,2893,1547,1695,5,3165,1939,0
KR202-775,1230,2210,3244,1457,3789,2584,624,1862,2548,3164,2177,699,1345,5,6157,2043,0
KR202-776,1407,653,1296,1486,1399,3798,1719,2036,3913,1534,1671,810,1743,4,3238,1099,0
KR202-777,2413,1594,1668,3568,3228,1056,2234,1448,1689,3088,2589,2827,604,3,9736,836,0
KR202-778,1409,3726,2927,1126,2129,3460,646,2895,1929,3024,701,1000,1544,1,4854,1815,0
KR202-779,2643,587,3524,1602,546,808,3291,2282,734,1764,1014,2465,1221,2,10316,1453,0
KR202-780,3859,1851,3680,1552,3965,745,2693,1821,1909,953,2711,3736,695,3,8753,2476,0
KR202-781,3471,2427,583,1440,3934,3989,3953,1316,2981,2268,3137,1778,1670,3,9678,782,0
KR202-782,3750,776,3697,1380,1993,2999,3291,3163,2711,3447,622,2288,1528,1,5232,2573,0
KR202-783,587,1947,1870,2740,537,3553,1091,3975,2023,1852,2300,3562,823,2,11454,1734,0
KR202-784,1407,3527,1366,3989,3065,1170,2345,2554,1538,2309,3694,3369,1338,2,12255,1685,0
KR202-785,1656,1694,1147,2744,2213,2910,2613,3031,3201,3082,939,1542,780,2,9444,1993,0
KR202-786,3531,2744,3448,922,3539,3649,3143,1964,2664,3158,3491,1861,1889,2,5759,1825,0
KR202-787,702,2154,1998,598,974,1753,1592,2424,2530,3296,592,1751,829,4,6416,759,0
KR202-788,1498,2125,638,3914,3410,3910,3603,902,3562,3963,2837,1447,1681,2,6459,666,0
KR202-789,1965,3975,3578,2292,1646,1329,3772,1926,1066,3874,2352,2636,1719,2,7739,1778,0
KR202-790,1438,3085,3973,3206,2338,972,3197,2574,1709,3139,3670,2328,880,4,12053,1556,0
KR202-791,3571,2531,1331,1186,2947,1034,3107,1024,3338,3401,3000,3712,1329,4,11345,2595,0
KR202-792,1194,905,1956,2232,1645,2881,1210,1279,824,3218,1778,2112,1035,4,5241,1872,0
KR202-793,1771,3393,3799,3063,2917,2516,3590,1242,2784,2001,1325,1781,1228,3,9838,1193,0
KR202-794,976,2716,2181,2334,2669,895,1934,1108,866,961,2330,656,716,4,11254,517,0
KR202-795,796,2586,967,914,1756,1950,600,2007,2891,3853,2489,3432,548,4,1908,482,0
KR202-796,3405,2750,1301,3027,999,3828,2199,3980,830,3681,3843,1175,795,5,12298,1239,0
KR202-797,1990,1452,2559,1108,3494,1518,1281,1244,3501,1059,2002,2923,634,3,3600,547,0
KR202-798,2253,3689,1651,3656,1671,1176,3478,2796,1475,1196,1107,2982,1347,1,13731,1853,0
KR202-799,1968,3928,2349,1440,889,2334,685,3788,3504,2980,1671,1423,1913,1,10773,1170,0
KR202-800,2861,2179,2826,2075,518,2901,3121,1805,1005,3801,2410,3443,1149,4,14980,573,0
KR202-801,1235,1080,2026,3077,2027,1220,1503,1017,2347,1037,1644,3037,1873,3,7696,605,0
KR202-802,1798,3271,501,3060,3307,2881,2086,2510,2059,3288,733,2580,534,1,12127,1828,0
KR202-803,1632,2252,3849,3232,3780,1157,870,2041,2495,3114,527,2410,1618,4,9704,1080,0
KR202-804,1790,3955,1123,2839,3174,1656,811,2819,1338,1924,3899,2486,1078,5,5669,1597,0
KR202-805,2482,2314,2019,2117,808,563,3995,2820,2813,2891,2670,2590,545,4,9919,479,0
KR202-806,3313,2212,871,767,3844,2009,2403,2307,1535,1956,741,1483,730,5,4237,540,0
KR202-807,650,3490,1342,3754,2192,3420,2146,517,2628,504,1650,3588,1951,2,5215,753,0
KR202-808,3990,1986,2307,622,3698,2162,3105,3076,2727,2218,2466,1139,1119,1,6483,793,0
KR202-809,2673,3665,1310,3526,932,2387,1821,932,1370,537,681,2524,1271,4,4773,1935,0
KR202-810,1456,1657,1042,973,2801,555,1136,2738,1856,2587,3214,3431,905,1,11817,454,0
KR202-811,2679,2658,2422,604,2700,2102,1577,679,3873,3445,786,3405,1069,3,13164,2085,0
KR202-812,3542,2443,651,2423,3882,2436,2109,2854,3363,3303,1479,823,1126,2,10794,1223,0
KR202-813,1485,1322,3098,1992,1617,2355,1554,779,3711,1649,1620,3714,1204,1,14618,1074,0
KR202-814,1734,763,910,2241,2892,1376,3201,2804,740,1349,2909,952,1443,1,10295,393,0
KR202-815,1717,1098,3701,1071,1025,1418,1755,3539,556,1696,3961,3517,1728,2,2498,539,0
KR202-816,3503,2191,1753,1373,1973,1192,2432,3031,988,1520,2634,3894,1478,3,10347,2271,0
KR202-817,3858,1911,3086,1043,1428,2524,2044,3697,1215,3313,769,1528,1736,4,7460,2323,0
KR202-818,1758,818,1569,2471,977,2937,2065,2658,3278,3963,2807,3350,917,4,4090,2193,0
KR202-819,3664,3414,2576,3001,3326,2596,1820,758,660,2496,1825,3337,1341,1,12834,1740,0
KR202-820,3885,2788,3455,2064,663,1828,1954,1612,3327,807,2621,3815,1137,3,10028,2080,0
KR202-821,3890,2037,2992,796,1207,592,2389,920,3278,2764,2417,2974,1561,4,9179,1931,0
KR202-822,1412,2422,3320,800,1628,2863,3471,2113,2646,1427,613,2649,1852,2,6397,865,0
KR202-823,1579,1557,530,2615,3128,3649,3983,3471,3675,2624,3445,1854,1172,3,13320,1187,0
KR202-824,3523,1932,1345,3680,3126,2559,1299,760,3231,688,3515,1638,1503,4,5305,1904,0
KR202-825,540,3820,2823,3169,1186,1438,768,3437,1605,2994,3340,906,1218,4,1648,1789,0
KR202-826,3331,3995,1245,1007,2288,1960,1679,2365,1226,1491,3001,3887,1419,3,12100,2374,0
KR202-827,3880,1626,3080,1415,3969,625,2785,3202,528,3650,1181,3511,611,5,6270,1799,0
KR202-828,2572,3795,3607,753,621,3416,2981,3867,2292,1384,3447,2993,1520,5,10919,2412,0
KR202-829,2842,3869,1979,1485,1438,1964,3577,1072,891,2446,1131,818,1441,4,4651,569,0
KR202-830,3982,2304,906,2603,2139,3591,2745,2859,3176,1824,846,3306,1614,4,8135,2247,0
KR202-831,579,3122,3639,1943,1097,710,732,566,1269,1449,2182,1023,1039,2,2904,1339,0
KR202-832,1095,3294,2469,2121,547,766,811,3095,868,2929,3452,1321,1400,2,14361,1597,0
KR202-833,527,2482,1509,3386,2557,3816,1853,1474,1004,3567,2579,3770,1161,1,10312,1447,0
KR202-834,1976,982,1086,2795,3348,1499,3059,1586,2808,3266,1237,1102,742,4,9117,1754,0
KR202-835,2704,1400,874,2844,1551,1540,1623,3188,1248,1734,1735,1986,789,3,12894,1941,0
KR202-836,3233,2093,900,3644,932,987,3658,2347,3487,2237,1948,3152,1312,1,13604,1168,0
KR202-837,2818,1766,3002,1847,3676,1468,710,862,1488,891,2553,781,1993,1,14892,839,0
KR202-838,959,3318,3131,1394,3225,3069,784,1275,1159,2734,2135,3938,568,1,12362,905,0
KR202-839,2603,2128,1081,1534,2407,3922,1412,2051,1378,2781,1239,3419,921,1,14086,513,0
KR202-840,3590,1000,1778,2181,3324,2057,1138,3905,1152,543,1328,3850,1852,3,9976,483,0
KR202-841,2005,3956,1975,3976,1946,1067,3013,3530,956,2067,2507,2529,1739,1,2508,930,0
KR202-842,3350,3730,3443,3267,2406,3094,1094,3623,3254,3850,1282,3457,1647,3,14408,1956,0
KR202-843,1679,3950,2053,1113,2384,2896,968,2705,847,3874,1168,2259,1554,3,5003,1662,0
KR202-844,3582,2969,3728,3187,3420,3544,3382,3629,2890,2198,2456,780,1355,2,6723,3155,0
KR202-845,1218,3806,1684,3629,2747,827,2483,3924,2742,2582,2150,2414,1952,4,13900,791,0
KR202-846,767,3799,2645,1193,1909,1504,537,3998,2585,1147,1758,1930,1747,1,6030,1854,0
KR202-847,3457,2894,3631,1010,3290,2472,1719,1728,3139,3826,2374,3137,1142,1,3629,1908,0
KR202-848,2265,1692,531,1036,3713,1228,864,1763,1841,1780,1259,1059,1293,3,6747,827,0
KR202-849,2960,3943,3030,1602,833,3249,576,559,2735,1874,892,3457,1464,1,9048,2012,0
KR202-850,3220,853,3277,3203,1365,1371,661,850,1130,3026,1271,3787,959,2,5713,748,0
KR202-851,3457,3124,958,3798,851,2480,3026,2459,2495,3411,1327,3891,1789,4,11486,1817,0
KR202-852,3239,670,2484,1914,2693,1238,2743,2749,711,1304,967,1737,1562,4,8880,537,0
KR202-853,1276,1247,3748,3237,722,671,700,2459,2808,2615,670,3304,1130,4,1372,601,0
KR202-854,3253,1529,2821,3778,2527,3075,2159,3272,3036,812,2773,657,1667,2,10612,1332,0
KR202-855,1739,1064,3201,3579,1487,3252,1990,846,3488,3190,1941,2876,1044,3,14833,1341,0
KR202-856,3681,3726,1640,2352,1037,2978,3235,1842,3718,3036,536,503,1924,5,12057,1378,0
KR202-857,1263,2947,2702,543,3716,998,1556,1797,2723,2388,761,1728,781,4,6563,888,0
KR202-858,2771,1955,1119,642,1602,2065,799,1330,1345,1376,1684,3862,761,5,4028,1469,0
KR202-859,1755,3657,2741,1174,1872,3870,1958,962,1717,1426,3203,1723,547,1,5490,2161,0
KR202-860,3993,2542,3118,851,2856,2505,3443,3950,3071,746,1482,540,555,4,856,2369,0
KR202-861,3173,3933,3370,1116,2867,1040,1883,1976,3315,936,2974,1152,1963,4,13036,1332,0
KR202-862,2834,3375,1032,2629,3895,2162,2204,3502,2361,3851,1485,762,575,4,13797,1871,0
KR202-863,1558,3974,2096,2259,3657,2294,1012,2894,3441,2146,1850,3533,856,3,11236,2344,0
KR202-864,3026,1970,2251,1679,3502,3393,1576,2384,1174,883,643,1121,1745,1,6081,1935,0
KR202-865,1023,1118,1832,934,1360,3282,1561,3748,637,840,2947,640,1546,2,10843,738,0
KR202-866,2497,942,2848,2653,1607,3980,3686,2344,2099,539,1294,2715,1802,4,14666,857,0
KR202-867,2588,1279,675,1708,1409,2871,2738,3222,3855,2683,712,3836,1916,4,10761,2253,0
KR202-868,1267,2097,502,1297,3358,686,2394,1261,1619,3484,3662,2131,865,4,13118,539,0
KR202-869,3149,2623,2224,2091,1604,2680,2454,512,2045,2420,2846,601,1931,2,10463,1247,0
KR202-870,1021,911,2775,2894,1697,2782,3276,3459,2342,1368,1623,3068,1841,5,14656,579,0
KR202-871,1472,524,2511,882,2982,3394,2718,1698,3478,1490,2809,1760,1708,3,9795,2224,0
KR202-872,2452,1535,2451,683,3492,755,2450,3513,1295,2161,3880,3476,1360,2,8866,1033,0
KR202-873,2814,2420,1902,1713,555,1566,3658,617,3112,896,2162,2308,625,5,4781,1096,0
KR202-874,2187,1828,2073,1683,2321,3273,3756,1322,556,2571,1121,3407,965,5,11056,1918,0
KR202-875,3839,1068,3771,2887,1706,1828,2651,2411,3721,2176,788,1567,999,1,4377,770,0
KR202-876,1310,1038,856,1337,2077,1622,1496,3729,3791,3588,1181,705,1730,5,5702,762,0
KR202-877,1323,566,2540,3722,1881,1231,1970,2549,2909,1742,3714,2760,1662,5,10554,2154,0
KR202-878,1423,884,3057,3032,1263,1031,1919,3260,3212,3463,3109,3744,510,2,1718,2567,0
KR202-879,2858,2424,2786,3499,1631,3099,2001,2236,3723,743,1813,2374,603,4,8964,1886,0
KR202-880,3087,1848,2129,3437,629,641,1798,2332,1170,960,2588,1318,1020,5,2999,1094,0
KR202-881,1325,2635,3025,1166,3142,3052,786,3628,3032,3309,3212,624,565,2,3214,1578,0
KR202-882,3340,2722,2566,3093,1565,3367,3182,553,1709,3889,2062,2601,1309,3,8150,1473,0
KR202-883,1179,2260,832,3381,714,1208,2643,2127,2135,2468,559,1536,1155,2,11972,1511,0
KR202-884,3548,1115,1718,2609,1298,2947,705,2322,1770,3956,1148,3328,1130,5,14791,2060,0
KR202-885,2072,1511,1837,1611,851,1296,823,3606,2365,3488,3468,2443,910,1,8024,935,0
KR202-886,3065,3358,2815,3416,1805,2312,1859,3657,941,1801,1283,1862,573,3,2645,2244,0
KR202-887,788,3587,2471,529,3178,3881,3919,3712,1117,3093,1171,3930,1823,1,7813,1224,0
KR202-888,3245,3206,1418,2284,1844,3297,3393,2793,3967,1556,2481,2273,1102,2,4265,2185,0
KR202-889,619,2799,3571,3658,1926,546,2911,587,3749,3360,3678,3319,1623,5,6385,2708,0
KR202-890,2238,1521,2553,2180,2812,2496,3695,1522,1860,1187,1020,3795,782,4,14924,2100,0
KR202-891,728,1270,3055,1780,1351,3532,969,1379,1089,3151,816,932,1635,2,6459,1085,0
KR202-892,3031,2651,3188,1245,991,1356,1225,3742,3336,3038,1651,2422,1442,2,12167,2336,0
KR202-893,2326,1144,3963,3821,1679,2588,3124,1743,2809,2173,1944,3558,1706,4,8618,1451,0
KR202-894,3795,2997,3972,2191,3345,3083,1497,2422,3073,1135,3363,673,1427,4,3557,560,0
KR202-895,2589,3984,1160,2400,2040,1348,2096,687,3033,3155,2474,2990,1157,3,5290,2380,0
KR202-896,932,1068,1232,2350,3874,3376,3177,2446,1945,3338,1379,2234,1425,4,9444,1258,0
KR202-897,1823,1042,3868,2186,2268,2748,2455,2505,966,1702,3801,3131,1364,3,4573,921,0
KR202-898,2370,1486,2877,1261,2388,1765,763,3636,1720,3949,3437,3716,1040,3,9726,968,0
KR202-899,1374,1408,1160,687,893,3802,2737,949,1181,580,2000,810,1474,4,5422,1556,0
KR202-900,2058,1057,2847,3760,3651,664,1952,3007,2740,2088,3559,1715,639,4,12566,2333,0
KR202-901,1406,3516,551,1837,2307,1030,843,557,2130,581,671,3005,1407,1,7116,806,0
KR202-902,3024,584,2846,1993,1466,945,3492,1980,2017,3909,560,2463,1170,3,4345,1871,0
KR202-903,1741,2505,1594,1999,2439,1784,1793,3406,2732,649,1511,1888,1676,2,14925,1592,0
KR202-904,2886,1279,1325,2895,3878,1138,1770,1101,2417,566,1785,3345,560,5,12085,1921,0
KR202-905,902,3527,3082,1411,1318,1992,3852,2776,2261,2858,2518,712,706,3,10089,1675,0
KR202-906,1145,1000,935,3227,2970,1919,3437,2724,3011,3784,2300,2916,1630,3,14403,2628,0
KR202-907,1919,1981,846,1374,2062,3029,2708,2327,699,2405,3771,757,1887,4,3068,636,0
KR202-908,3615,1846,3434,1958,3472,2149,2788,902,3003,2400,3009,2469,1715,2,9956,1164,0
KR202-909,1794,2596,1306,823,2571,767,2654,3659,2640,3241,2130,3735,1255,1,2633,616,0
KR202-910,1703,3233,2695,1916,3378,1604,3080,3061,1625,3357,3080,3504,1792,2,9047,875,0
KR202-911,2560,3819,3784,746,2496,3821,3484,1802,3259,1497,634,567,1007,2,2570,2363,0
KR202-912,2715,2077,1643,683,3394,2802,917,1274,3373,671,2410,3781,1061,1,12036,704,0
KR202-913,586,886,2713,2828,1215,565,3742,1202,931,1906,2083,603,884,1,9083,779,0
KR202-914,1277,1574,2352,2779,1612,1061,3682,1766,775,878,3796,1756,1241,1,2914,501,0
KR202-915,2612,2812,1500,3879,3878,2676,905,2182,1058,1078,2353,2881,1434,1,14990,2166,0
KR202-916,1263,3532,927,2118,3601,2512,3972,3137,1325,3989,1395,599,747,1,8881,1636,0
KR202-917,1814,1908,2306,3018,1485,1340,2559,781,1931,1169,722,1419,665,5,12596,1073,0
KR202-918,3923,1619,1488,1276,3156,2412,3594,2956,802,1553,3873,2007,1358,2,10285,1170,0
KR202-919,3506,946,3366,1986,3889,2703,3176,570,3666,1001,1138,1649,1093,3,8720,2419,0
KR202-920,2781,3481,3374,1848,1132,3683,3349,3142,898,3277,2076,3416,1930,2,6552,2582,0
KR202-921,2767,2516,3433,1860,3111,738,601,2427,1070,1516,3232,3712,974,2,2544,978,0
KR202-922,4000,3501,1455,799,764,3162,1945,3864,3271,3669,2736,1466,1370,3,8190,2098,0
KR202-923,3352,3169,3440,3089,2068,863,1138,2607,844,2305,2550,2284,1683,1,10609,2050,0
KR202-924,1455,1643,3356,1552,2169,3810,557,2695,3992,3723,2375,692,512,5,1117,616,0
KR202-925,1507,2961,3069,2897,1655,830,3077,2436,1138,3531,3372,3812,1880,1,5473,650,0
KR202-926,1881,3821,3996,2672,2649,3995,572,1682,1309,2066,2263,1987,1503,5,7466,2365,0
KR202-927,3623,3241,2281,1291,3808,1442,3433,1553,992,3083,3109,2043,1231,5,6911,1147,0
KR202-928,1498,819,2850,2686,3252,3741,3881,1552,2014,2817,2894,3819,1760,3,8341,2910,0
KR202-929,2047,1561,2565,608,3604,573,2691,3862,822,1326,1205,2054,1516,3,14400,1408,0
KR202-930,1704,3483,2578,3653,585,2308,1770,2220,746,2317,2941,1471,1378,1,3387,1288,0
KR202-931,1653,3690,1146,3666,3762,577,2431,3740,1309,3060,1935,2480,714,2,3748,1137,0
KR202-932,959,2925,1187,2855,2382,3694,2341,2292,1888,3618,2836,965,515,5,7064,1164,0
KR202-933,2824,1968,3260,1396,3639,3782,3164,2868,3173,1803,3047,2781,1074,1,7848,2823,0
KR202-934,1173,1539,1193,1299,1153,571,579,1309,1720,1547,1955,1708,1244,2,1645,1203,0
KR202-935,3175,1231,1265,727,2228,1971,1667,3550,689,2289,1134,2306,596,4,3594,1145,0
KR202-936,3172,3116,3578,3161,2842,2647,2921,2159,1530,1352,2170,730,1670,2,11377,1476,0
KR202-937,3012,3299,2008,3962,2411,3394,907,3411,1378,2715,2070,3055,1212,4,12896,2107,0
KR202-938,2786,2576,3745,3165,2990,1790,1250,1586,597,1502,2937,1239,904,5,8965,1663,0
KR202-939,3639,1104,1691,2927,2282,576,3176,1522,2787,3518,3792,2226,933,3,6324,2002,0
KR202-940,3506,2560,2427,760,3105,1925,3992,1782,3467,2109,1062,2192,845,2,5922,2316,0
KR202-941,2442,1025,1827,2631,2832,3125,1573,521,3752,972,3830,3596,555,2,6753,1357,0
KR202-942,3116,1329,3234,799,2354,928,3871,2727,817,2230,3048,3593,1637,4,6599,2049,0
KR202-943,2960,2354,3173,2304,1384,3815,2893,2547,1554,1327,1059,1477,1030,4,1802,1155,0
KR202-944,1146,2982,598,2686,2140,2005,917,1651,2848,3815,2530,2219,1087,5,6921,1170,0
KR202-945,3909,2881,2891,3707,3389,3522,2610,1012,2346,3994,2591,767,1807,4,8500,2546,0
KR202-946,2543,1553,1698,800,2783,3838,2264,3318,3873,3808,1673,889,1258,5,14253,1912,0
KR202-947,1102,3290,564,2088,1777,3971,1785,3708,2524,2083,627,3415,533,2,6770,2454,0
KR202-948,1795,2785,2505,1745,1914,1569,2499,1264,2081,1088,1248,3530,1434,2,8974,1392,0
KR202-949,3051,3912,2840,1142,722,2067,2197,910,2926,3561,1437,580,762,3,8145,1999,0
KR202-950,1636,3052,3745,2824,3664,573,518,1910,620,3767,2721,1689,1963,1,8452,1357,0
KR202-951,3283,549,3005,1608,3654,2810,1983,2008,544,3355,1892,1120,1066,5,2017,1092,0
KR202-952,1481,2904,1742,626,3422,1368,1225,1946,3806,3260,1803,3780,990,1,5582,2359,0
KR202-953,1718,2017,3044,2061,3520,2807,3059,3986,1200,1577,2185,2911,1185,3,11859,1260,0
KR202-954,1661,3174,2708,2449,1260,1939,1856,3003,3001,3847,2642,546,1199,3,7449,2183,0
KR202-955,1769,3776,3741,589,2285,2660,1326,2468,1457,2469,3471,3886,1397,3,6204,2142,0
KR202-956,2570,565,3594,1266,3735,530,3382,3176,2566,1209,2443,3074,1147,3,11809,796,0
KR202-957,3322,517,2725,503,3340,3674,2686,960,2096,716,652,2398,1628,1,6509,1033,0
KR202-958,2398,3619,3094,2064,2167,1195,3250,3996,998,2405,2313,1195,786,2,2185,751,0
KR202-959,2115,3703,2453,1746,3065,1298,3140,1848,707,1507,1840,637,1627,3,6951,1096,0
KR202-960,687,2574,3833,3255,1829,1981,3224,2594,809,2465,2042,669,1908,3,3343,1082,0
KR202-961,3713,2213,974,2043,3414,3651,3752,633,3010,1362,1037,1334,848,4,2441,1109,0
KR202-962,3667,3874,2073,2567,1873,1579,1957,1800,886,3456,3839,3027,1525,1,6054,877,0
KR202-963,3310,3556,3715,2620,3154,2235,520,1554,3343,1380,1413,1995,1890,2,5577,1785,0
KR202-964,2952,1054,844,2326,698,2386,3685,566,2310,3682,2219,2887,1841,1,12569,1028,0
KR202-965,2029,2175,1863,1475,2712,3232,2983,2852,2491,1136,3167,2558,1898,2,10961,1225,0
KR202-966,1473,2709,1294,2336,3989,1087,1724,1685,944,3794,1893,2984,670,2,9549,1769,0
KR202-967,2001,3228,2853,2858,1316,3928,1451,1561,1907,2770,1802,2126,585,4,5112,603,0
KR202-968,3645,1837,3685,2253,584,2780,2484,3809,3628,3878,1489,3968,889,5,3919,2466,0
KR202-969,554,842,3452,3263,3391,1735,1876,894,3042,687,669,2116,1822,2,10024,1065,0
KR202-970,3162,2210,3539,1221,2516,760,3738,3681,3111,975,1930,3573,1020,3,2351,2747,0
KR202-971,1893,1260,3519,1248,773,1831,2158,3509,3630,2847,2558,2683,803,3,6177,721,0
KR202-972,3340,2429,2997,3332,2886,3997,2971,3789,1785,3902,1825,3836,1674,3,3180,640,0
KR202-973,807,2003,1989,1356,1920,3580,1709,3345,2622,2440,3208,2856,1631,5,11204,1475,0
KR202-974,2776,3399,3020,1793,2071,3655,3300,2667,2045,2686,1293,1229,1331,4,1637,855,0
KR202-975,1507,3696,575,2450,2052,1791,3510,2703,1839,2464,2764,689,857,1,12879,1873,0
KR202-976,1799,2346,743,1738,2830,3409,2766,3963,873,3476,3883,2051,1267,2,8409,1103,0
KR202-977,2831,722,818,3401,2755,3419,3271,1459,2504,943,2809,2793,1841,1,13367,1663,0
KR202-978,647,2197,2940,1954,1499,1770,1381,3357,1239,2821,783,2332,1478,5,7191,599,0
KR202-979,561,2574,1076,3177,2864,2679,1981,2164,2031,1449,2685,1632,1100,1,3576,1212,0
KR202-980,608,2694,666,1310,811,3808,779,1187,1883,1567,3031,1869,1256,5,10099,1653,0
KR202-981,883,3705,793,3932,2503,634,3967,943,2011,2592,2563,1765,1645,5,6018,879,0
KR202-982,974,991,1871,545,2213,689,1091,3138,848,583,1788,2020,1970,4,5926,469,0
KR202-983,1118,3848,3086,611,623,2210,3511,1403,2135,2593,3287,3148,1813,2,2534,2509,0
KR202-984,1825,1334,1316,575,986,3939,3229,2564,1511,3047,568,695,1158,2,14952,1250,0
KR202-985,3430,3609,1789,3348,637,2317,2368,2027,2507,3177,2192,2414,1971,1,3901,687,0
KR202-986,1742,1125,2474,2557,1144,577,3641,3320,2063,3170,1212,3870,1332,2,12761,2042,0
KR202-987,2297,1979,3122,817,3761,1598,2678,1888,2686,1220,3911,3767,1382,5,11637,2219,0
KR202-988,959,542,3767,1926,1870,974,1483,1398,1075,3135,2379,1424,1520,2,5596,1699,0
KR202-989,1602,2400,740,3375,2677,2589,3037,2674,2852,3429,1080,3109,940,3,8202,2069,0
KR202-990,929,559,769,1114,2549,1669,573,2436,1349,3345,2591,1416,1486,5,8680,431,0
KR202-991,3844,3511,2932,679,746,2222,1933,646,3417,1702,2559,1689,1597,4,5485,1205,0
KR202-992,931,1969,1474,3635,3792,3467,528,1003,2504,2128,1879,1515,1095,5,13672,1661,0
KR202-993,1446,3650,2137,3760,2919,2262,3860,749,2586,2767,944,3461,1213,5,7399,1697,0
KR202-994,1685,3274,3196,3436,3837,3209,1020,2430,1342,3402,612,3310,1895,4,6991,811,0
KR202-995,2681,2378,1139,1527,2741,3383,3004,730,1341,2720,3698,3192,1060,1,12390,1160,0
KR202-996,1190,2702,691,867,3312,807,2788,1560,3727,3262,3958,2861,952,5,5223,1071,0
KR202-997,1173,2893,2582,938,1933,2667,1088,3216,1129,2865,3978,2945,1258,4,6267,477,0
KR202-998,3495,3909,828,2448,1936,575,3001,634,656,2506,3784,3584,689,1,3173,1472,0
KR202-999,1330,3145,3470,2334,1109,3877,1881,1950,2174,2937,2900,2090,1329,1,4618,825,0
KR202-1000,1487,1783,3695,2332,2250,585,1481,3167,3982,2872,1863,3698,832,2,5748,1798,0
KR202-1001,1387,3711,1873,1808,1742,2346,1173,1361,2615,3643,1400,3543,1074,4,4557,1038,0
